year_mobility,region_origin,destination,latitude,longitude,n_mobile
2012,Sub-Saharan Africa,CH,47.00016,8.01427,46
2012,Sub-Saharan Africa,CR,10,-84,1
2012,Sub-Saharan Africa,IL,31.5,34.75,4
2012,Sub-Saharan Africa,MW,-13.5,34,2
2012,Sub-Saharan Africa,QA,25.5,51.25,2
2012,Sub-Saharan Africa,SA,25,45,8
2012,Sub-Saharan Africa,TW,24,121,2
2013,Sub-Saharan Africa,BD,24,90,3
2013,Sub-Saharan Africa,BF,12.5,-1.66667,5
2013,Sub-Saharan Africa,IE,53,-8,6
2013,Sub-Saharan Africa,KE,1,38,19
2013,Sub-Saharan Africa,MR,20.25,-10.5,2
2013,Sub-Saharan Africa,PL,52,20,5
2013,Sub-Saharan Africa,RO,46,25,5
2013,Sub-Saharan Africa,TR,39,35,1
2014,Sub-Saharan Africa,BF,12.5,-1.66667,9
2014,Sub-Saharan Africa,KE,1,38,30
2014,Sub-Saharan Africa,MX,23,-102,1
2014,Sub-Saharan Africa,OM,21,57,2
2014,Sub-Saharan Africa,PL,52,20,5
2015,Sub-Saharan Africa,FI,64,26,6
2015,Sub-Saharan Africa,IS,65,-18,1
2015,Sub-Saharan Africa,KE,1,38,30
2015,Sub-Saharan Africa,NZ,-42,174,8
2015,Sub-Saharan Africa,SI,46.08333,15,1
2016,Sub-Saharan Africa,BG,42.66667,25.25,1
2016,Sub-Saharan Africa,BW,-22,24,14
2016,Sub-Saharan Africa,ET,9,39.5,9
2016,Sub-Saharan Africa,FR,46,2,82
2016,Sub-Saharan Africa,NO,62,10,16
2016,Sub-Saharan Africa,OM,21,57,3
2016,Sub-Saharan Africa,PL,52,20,1
2016,Sub-Saharan Africa,SI,46.08333,15,4
2016,Sub-Saharan Africa,SK,48.66667,19.5,1
2017,Sub-Saharan Africa,AT,47.33333,13.33333,10
2017,Sub-Saharan Africa,BJ,9.5,2.25,14
2017,Sub-Saharan Africa,CI,8,-5.5,7
2017,Sub-Saharan Africa,FR,46,2,70
2017,Sub-Saharan Africa,IN,22,79,39
2017,Sub-Saharan Africa,NE,18,9,1
2017,Sub-Saharan Africa,PE,-10,-75.25,4
2017,Sub-Saharan Africa,PL,52,20,4
2017,Sub-Saharan Africa,PT,39.6945,-8.13057,4
2017,Sub-Saharan Africa,SI,46.08333,15,2
2017,Sub-Saharan Africa,TD,15,19,3
2018,Sub-Saharan Africa,AR,-34,-64,2
2018,Sub-Saharan Africa,AU,-25,135,98
2018,Sub-Saharan Africa,CA,60.10867,-113.64258,75
2018,Sub-Saharan Africa,GB,54.75844,-2.69531,202
2018,Sub-Saharan Africa,GT,15.5,-90.25,1
2018,Sub-Saharan Africa,LK,7.75,80.75,2
2018,Sub-Saharan Africa,PH,13.40882,122.56155,3
2018,Sub-Saharan Africa,VN,16.16667,107.83333,4
2019,Sub-Saharan Africa,AE,23.75,54.5,4
2019,Sub-Saharan Africa,BJ,9.5,2.25,11
2019,Sub-Saharan Africa,BZ,17.25,-88.75,1
2019,Sub-Saharan Africa,CI,8,-5.5,11
2019,Sub-Saharan Africa,DK,56,10,5
2019,Sub-Saharan Africa,EG,27,30,2
2019,Sub-Saharan Africa,ES,40,-4,11
2019,Sub-Saharan Africa,FR,46,2,104
2019,Sub-Saharan Africa,GB,54.75844,-2.69531,269
2019,Sub-Saharan Africa,HT,19.07582,-72.29616,2
2019,Sub-Saharan Africa,NA,-22,17,19
2019,Sub-Saharan Africa,NG,10,8,84
2019,Sub-Saharan Africa,PH,13.40882,122.56155,7
2019,Sub-Saharan Africa,PT,39.6945,-8.13057,4
2019,Sub-Saharan Africa,RU,60,100,10
2019,Sub-Saharan Africa,TN,34,9,2
